Date,Open,High,Low,Close,Volume,Adj Close
2012-05-10,574.58,575.88,568.44,570.52,11900000,545.31
2012-05-09,563.70,573.98,560.85,569.18,17168000,544.03
2012-05-08,569.58,571.50,558.73,568.18,17759000,543.08
2012-05-07,561.50,572.77,561.23,569.48,16432800,544.32
2012-05-04,577.08,578.36,565.17,565.25,18928300,540.27
2012-05-03,590.50,591.40,580.30,581.82,13948200,556.11
2012-05-02,580.24,587.40,578.86,585.98,15263900,560.09
2012-05-01,584.90,596.76,581.23,582.13,21821400,556.41
2012-04-30,597.80,598.40,583.00,583.98,18076600,558.18
2012-04-27,605.07,606.18,600.50,603.00,14525800,576.36
2012-04-26,614.27,614.69,602.13,607.70,19145300,580.85
2012-04-25,615.64,618.00,606.00,610.00,32349200,583.05
2012-04-24,562.61,567.69,555.00,560.28,38433900,535.52
2012-04-23,570.61,576.67,556.62,571.70,34518900,546.44
2012-04-20,591.38,594.62,570.42,572.98,36820900,547.66
2012-04-19,600.22,604.73,584.52,587.44,29811400,561.48
2012-04-18,613.72,620.25,602.71,608.34,34090400,581.46
2012-04-17,578.94,610.00,571.91,609.70,36626000,582.76
2012-04-16,610.06,610.28,578.25,580.13,37528100,554.50
2012-04-13,624.11,624.70,603.51,605.23,30701600,578.49
2012-04-12,625.00,631.33,620.50,622.77,21940600,595.25
2012-04-11,636.20,636.87,623.34,626.20,24879100,598.53
2012-04-10,639.93,644.00,626.00,628.44,31775900,600.67
2012-04-09,626.13,639.84,625.30,636.23,21340600,608.12
2012-04-05,626.98,634.66,623.40,633.68,22903500,605.68
2012-04-04,624.35,625.86,617.00,624.31,20463600,596.73
2012-04-03,627.30,632.21,622.51,629.32,29805700,601.51
2012-04-02,601.83,618.77,600.38,618.63,21369700,591.30
2012-03-30,608.77,610.56,597.94,599.55,26108500,573.06
2012-03-29,612.78,616.56,607.23,609.86,21722800,582.91
2012-03-28,618.38,621.45,610.31,617.62,23409300,590.33
2012-03-27,606.18,616.28,606.06,614.48,21683200,587.33
2012-03-26,599.79,607.15,595.26,606.98,21276500,580.16
2012-03-23,600.49,601.80,594.40,596.05,15374600,569.71
2012-03-22,597.78,604.50,595.53,599.34,22281100,572.86
2012-03-21,602.74,609.65,601.41,602.50,23001500,575.88
2012-03-20,599.51,606.90,591.48,605.96,29166500,579.19
2012-03-19,598.37,601.77,589.05,601.10,32187000,574.54
2012-03-16,584.72,589.20,578.00,585.57,29481700,559.70
2012-03-15,599.61,600.01,578.55,585.56,41418500,559.69
2012-03-14,578.05,594.72,575.40,589.58,50673000,563.53
2012-03-13,557.54,568.18,555.75,568.10,24673400,543.00
2012-03-12,548.98,552.00,547.00,552.00,14545800,527.61
2012-03-09,544.21,547.74,543.11,545.17,14961400,521.08
2012-03-08,534.69,542.99,532.12,541.99,18444900,518.04
2012-03-07,536.80,537.78,523.30,530.69,28518600,507.24
2012-03-06,523.66,533.69,516.22,530.26,28937100,506.83
2012-03-05,545.42,547.48,526.00,533.16,28897300,509.60
2012-03-02,544.24,546.80,542.52,545.18,15418300,521.09
2012-03-01,548.17,548.21,538.77,544.47,24402500,520.41
2012-02-29,541.56,547.61,535.70,542.44,34000400,518.47
2012-02-28,527.96,535.41,525.85,535.41,21442400,511.75
2012-02-27,521.31,528.50,516.28,525.76,19556500,502.53
2012-02-24,519.67,522.90,518.64,522.41,14824000,499.33
2012-02-23,515.08,517.83,509.50,516.39,20286700,493.57
2012-02-22,513.08,515.49,509.07,513.04,17260800,490.37
2012-02-21,506.88,514.85,504.12,514.85,21628400,492.10
